time,template
0.496094,5.855274e-20
0.496338,5.994397e-20
0.496582,6.094147e-20
0.496826,6.153791e-20
0.497070,6.172946e-20
0.497314,6.151413e-20
0.497559,6.089327e-20
0.497803,5.987037e-20
0.498047,5.845225e-20
0.498291,5.664737e-20
0.498535,5.446670e-20
0.498779,5.192646e-20
0.499023,4.904260e-20
0.499268,4.583024e-20
0.499512,4.231502e-20
0.499756,3.851969e-20
0.500000,3.446629e-20
0.500244,3.018032e-20
0.500488,2.569568e-20
0.500732,2.103699e-20
0.500977,1.623482e-20
0.501221,1.132450e-20
0.501465,6.335813e-21
0.501709,1.303680e-21
0.501953,-3.740392e-21
0.502197,-8.760081e-21
0.502441,-1.372483e-20
0.502686,-1.860244e-20
0.502930,-2.335763e-20
0.503174,-2.795957e-20
0.503418,-3.237669e-20
0.503662,-3.658105e-20
0.503906,-4.054504e-20
0.504150,-4.423910e-20
0.504395,-4.764109e-20
0.504639,-5.072500e-20
0.504883,-5.347292e-20
0.505127,-5.586625e-20
0.505371,-5.788605e-20
0.505615,-5.951913e-20
0.505859,-6.075682e-20
0.506104,-6.158733e-20
0.506348,-6.200684e-20
0.506592,-6.201115e-20
0.506836,-6.160047e-20
0.507080,-6.077591e-20
0.507324,-5.954487e-20
0.507568,-5.791235e-20
0.507812,-5.589264e-20
0.508057,-5.349442e-20
0.508301,-5.073722e-20
0.508545,-4.763616e-20
0.508789,-4.421527e-20
0.509033,-4.049418e-20
0.509277,-3.650044e-20
0.509521,-3.225771e-20
0.509766,-2.779835e-20
0.510010,-2.314722e-20
0.510254,-1.833613e-20
0.510498,-1.340280e-20
0.510742,-8.373080e-21
0.510986,-3.287325e-21
0.511230,1.823943e-21
0.511475,6.928127e-21
0.511719,1.198507e-20
0.511963,1.696617e-20
0.512207,2.183215e-20
0.512451,2.655024e-20
0.512695,3.109776e-20
0.512939,3.543429e-20
0.513184,3.953065e-20
0.513428,4.336412e-20
0.513672,4.690471e-20
0.513916,5.012894e-20
0.514160,5.301563e-20
0.514404,5.554237e-20
0.514648,5.769412e-20
0.514893,5.945438e-20
0.515137,6.081214e-20
0.515381,6.175738e-20
0.515625,6.228265e-20
0.515869,6.238439e-20
0.516113,6.206157e-20
0.516357,6.131569e-20
0.516602,6.015204e-20
0.516846,5.857765e-20
0.517090,5.660393e-20
0.517334,5.424204e-20
0.517578,5.150823e-20
0.517822,4.842248e-20
0.518066,4.500262e-20
0.518311,4.127626e-20
0.518555,3.726311e-20
0.518799,3.299547e-20
0.519043,2.849847e-20
0.519287,2.380688e-20
0.519531,1.894656e-20
0.519775,1.395315e-20
0.520020,8.863560e-21
0.520264,3.709833e-21
0.520508,-1.471791e-21
0.520752,-6.646720e-21
0.520996,-1.177563e-20
0.521240,-1.682892e-20
0.521484,-2.176712e-20
0.521729,-2.655983e-20
0.521973,-3.117377e-20
0.522217,-3.557364e-20
0.522461,-3.972849e-20
0.522705,-4.361477e-20
0.522949,-4.720294e-20
0.523193,-5.046557e-20
0.523438,-5.338345e-20
0.523682,-5.593386e-20
0.523926,-5.809942e-20
0.524170,-5.986489e-20
0.524414,-6.121791e-20
0.524658,-6.214868e-20
0.524902,-6.264977e-20
0.525146,-6.271778e-20
0.525391,-6.235188e-20
0.525635,-6.155381e-20
0.525879,-6.032909e-20
0.526123,-5.868503e-20
0.526367,-5.663430e-20
0.526611,-5.418902e-20
0.526855,-5.136706e-20
0.527100,-4.818603e-20
0.527344,-4.467006e-20
0.527588,-4.084145e-20
